referrer,views_total,views_unique
github.com,10904,5993
Google,4616,3502
agpt.co,3521,2084
chatgpt.com,885,530
Bing,488,285
aixploria.com,248,173
doubao.com,207,103
youtube.com,148,47
futurepedia.io,147,98
namu.wiki,123,75
