referrer,views_total,views_unique
github.com,11089,5738
Google,4624,3567
agpt.co,3535,2058
chatgpt.com,927,481
Bing,535,296
doubao.com,223,99
aixploria.com,202,154
futurepedia.io,167,105
youtube.com,131,43
namu.wiki,120,71
