referrer,views_total,views_unique
github.com,11511,5989
Google,4528,3515
agpt.co,3435,2050
chatgpt.com,927,511
Bing,512,288
aixploria.com,238,170
doubao.com,211,97
futurepedia.io,150,96
medium.com,135,62
youtube.com,134,36
